source_ensemblID,source_gene_symbol,source_celltype,source_means,source_quality,source_Gene_Symbol_human,target_ensemblID,target_gene_symbol,target_celltype,target_means,target_quality,target_Gene_Symbol_human,source_log2FC,target_log2FC,source_nodes,target_nodes,pair,interaction_type,interaction_redundancy,source_influenced_genes,target_influenced_genes,source_influenced_celltypes,target_influenced_celltypes,source_influencer_celltypes,target_influencer_celltypes
ENSDARG00000012405,col1a1a,EC,13.869492054510076,1.0,COL1A1,ENSDARG00000059906,sdc4,CM-,13.549984891252466,1.0,SDC4,2.00050210211253,0.0,col1a1a_EC,sdc4_CM-,col1a1a_sdc4,EC_CM-,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000035809,col1a1b,EC,13.217779335202149,1.0,COL1A1,ENSDARG00000059906,sdc4,FB,12.3915327561331,1.0,SDC4,2.01778917078478,0.0,col1a1b_EC,sdc4_FB,col1a1b_sdc4,EC_FB,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000035809,col1a1b,EC,13.217779335202149,1.0,COL1A1,ENSDARG00000059906,sdc4,EC,12.2923141427336,1.0,SDC4,2.01778917078478,0.0,col1a1b_EC,sdc4_EC,col1a1b_sdc4,EC_EC,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000035809,col1a1b,EC,13.217779335202149,1.0,COL1A1,ENSDARG00000059906,sdc4,CM+,12.41588887812548,1.0,SDC4,2.01778917078478,0.0,col1a1b_EC,sdc4_CM+,col1a1b_sdc4,EC_CM+,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000035809,col1a1b,EC,13.217779335202149,1.0,COL1A1,ENSDARG00000059906,sdc4,CM-,13.549984891252466,1.0,SDC4,2.01778917078478,0.0,col1a1b_EC,sdc4_CM-,col1a1b_sdc4,EC_CM-,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000020007,col1a2,EC,12.74115487107385,1.0,COL1A2,ENSDARG00000059906,sdc4,FB,12.3915327561331,1.0,SDC4,1.82573130832082,0.0,col1a2_EC,sdc4_FB,col1a2_sdc4,EC_FB,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, itga1, sdc4, cd248a, itga11b, itga2b, itga11a, itga9, itgb3b, itgb3a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000020007,col1a2,EC,12.74115487107385,1.0,COL1A2,ENSDARG00000059906,sdc4,EC,12.2923141427336,1.0,SDC4,1.82573130832082,0.0,col1a2_EC,sdc4_EC,col1a2_sdc4,EC_EC,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, itga1, sdc4, cd248a, itga11b, itga2b, itga11a, itga9, itgb3b, itgb3a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000020007,col1a2,EC,12.74115487107385,1.0,COL1A2,ENSDARG00000059906,sdc4,CM+,12.41588887812548,1.0,SDC4,1.82573130832082,0.0,col1a2_EC,sdc4_CM+,col1a2_sdc4,EC_CM+,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, itga1, sdc4, cd248a, itga11b, itga2b, itga11a, itga9, itgb3b, itgb3a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000020007,col1a2,EC,12.74115487107385,1.0,COL1A2,ENSDARG00000059906,sdc4,CM-,13.549984891252466,1.0,SDC4,1.82573130832082,0.0,col1a2_EC,sdc4_CM-,col1a2_sdc4,EC_CM-,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, itga1, sdc4, cd248a, itga11b, itga2b, itga11a, itga9, itgb3b, itgb3a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB, CM+","EC, CM-, FB, CM+"
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000059906,sdc4,FB,12.3915327561331,1.0,SDC4,6.567757329,0.0,col6a2_CM+,sdc4_FB,col6a2_sdc4,CM+_FB,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
